country,total_count,tv_count,movie_count
United States,2492,137,2355
India,988,18,970
United Kingdom,433,59,374
Canada,198,12,186
France,162,13,149
Spain,143,15,128
Japan,110,20,90
Egypt,109,2,107
Nigeria,101,5,96
Mexico,97,8,89
Indonesia,85,1,84
Turkey,85,5,80
Philippines,83,2,81
Germany,80,3,77
Hong Kong,76,0,76
South Korea,70,23,47
China,67,9,58
Brazil,67,8,59
Australia,65,4,61
Argentina,58,2,56
Pakistan,54,10,44
Italy,50,5,45
Thailand,48,6,42
South Africa,37,1,36
Taiwan,30,16,14
Colombia,23,8,15
Poland,23,1,22
Netherlands,22,0,22
Ireland,21,0,21
Denmark,21,3,18
United Arab Emirates,20,0,20
Lebanon,19,1,18
Malaysia,18,2,16
Chile,18,0,18
New Zealand,15,0,15
Israel,12,0,12
Norway,12,0,12
Sweden,12,1,11
Belgium,12,3,9
Singapore,10,0,10
Romania,10,0,10
Saudi Arabia,9,2,7
Uruguay,8,0,8
Austria,8,0,8
Kuwait,7,1,6
Vietnam,7,0,7
Switzerland,7,0,7
Peru,6,0,6
Czech Republic,5,0,5
Hungary,5,0,5
Russia,5,1,4
Bulgaria,5,0,5
Kenya,4,0,4
Ghana,4,0,4
Portugal,4,0,4
Serbia,3,0,3
Finland,3,0,3
Iceland,3,0,3
Bangladesh,3,0,3
Cambodia,2,0,2
Venezuela,2,0,2
Georgia,2,0,2
Croatia,2,1,1
Syria,2,0,2
Zimbabwe,1,0,1
Mozambique,1,0,1
Paraguay,1,0,1
Namibia,1,0,1
Cameroon,1,0,1
Soviet Union,1,0,1
Greece,1,0,1
West Germany,1,0,1
Iran,1,0,1
Slovenia,1,0,1
Guatemala,1,0,1
Jamaica,1,0,1
Somalia,1,0,1
Mauritius,1,0,1
